$CPC, Daily
      Date,       Open,       High,        Low,      Close,        Volume 
10/28/2009,     1.1100,     1.1100,     1.1100,     1.1100,             0 
10/29/2009,     0.8400,     0.8400,     0.8400,     0.8400,             0 
10/30/2009,     1.2100,     1.2100,     1.2100,     1.2100,             0 
11/02/2009,     1.0300,     1.0300,     1.0300,     1.0300,             0 
11/03/2009,     0.9400,     0.9400,     0.9400,     0.9400,             0 
11/04/2009,     0.8200,     0.8200,     0.8200,     0.8200,             0 
11/05/2009,     0.8700,     0.8700,     0.8700,     0.8700,             0 
11/06/2009,     1.0200,     1.0200,     1.0200,     1.0200,             0 
11/09/2009,     0.8700,     0.8700,     0.8700,     0.8700,             0 
11/10/2009,     0.8400,     0.8400,     0.8400,     0.8400,             0 
11/11/2009,     0.9000,     0.9000,     0.9000,     0.9000,             0 
11/12/2009,     0.8500,     0.8500,     0.8500,     0.8500,             0 
11/13/2009,     1.0100,     1.0100,     1.0100,     1.0100,             0 
11/16/2009,     0.8400,     0.8400,     0.8400,     0.8400,             0 
11/17/2009,     0.8800,     0.8800,     0.8800,     0.8800,             0 
11/18/2009,     0.8400,     0.8400,     0.8400,     0.8400,             0 
11/19/2009,     1.0000,     1.0000,     1.0000,     1.0000,             0 
11/20/2009,     0.9200,     0.9200,     0.9200,     0.9200,             0 
11/23/2009,     0.6700,     0.6700,     0.6700,     0.6700,             0 
11/24/2009,     0.8800,     0.8800,     0.8800,     0.8800,             0 
11/25/2009,     0.8500,     0.8500,     0.8500,     0.8500,             0 
11/27/2009,     1.0500,     1.0500,     1.0500,     1.0500,             0 
11/30/2009,     1.0300,     1.0300,     1.0300,     1.0300,             0 
12/01/2009,     0.8400,     0.8400,     0.8400,     0.8400,             0 
12/02/2009,     0.8900,     0.8900,     0.8900,     0.8900,             0 
12/03/2009,     0.6800,     0.6800,     0.6800,     0.6800,             0 
12/04/2009,     0.8500,     0.8500,     0.8500,     0.8500,             0 
12/07/2009,     0.9000,     0.9000,     0.9000,     0.9000,             0 
12/08/2009,     0.9000,     0.9000,     0.9000,     0.9000,             0 
12/09/2009,     0.9600,     0.9600,     0.9600,     0.9600,             0 
12/10/2009,     0.9100,     0.9100,     0.9100,     0.9100,             0 
12/11/2009,     0.9000,     0.9000,     0.9000,     0.9000,             0 
12/14/2009,     0.8900,     0.8900,     0.8900,     0.8900,             0 
12/15/2009,     0.7600,     0.7600,     0.7600,     0.7600,             0 
12/16/2009,     0.9000,     0.9000,     0.9000,     0.9000,             0 
12/17/2009,     0.9100,     0.9100,     0.9100,     0.9100,             0 
12/18/2009,     0.9800,     0.9800,     0.9800,     0.9800,             0 
12/21/2009,     0.6200,     0.6200,     0.6200,     0.6200,             0 
12/22/2009,     0.6000,     0.6000,     0.6000,     0.6000,             0 
12/23/2009,     0.8300,     0.8300,     0.8300,     0.8300,             0 
12/24/2009,     0.7100,     0.7100,     0.7100,     0.7100,             0 
12/28/2009,     0.7900,     0.7900,     0.7900,     0.7900,             0 
12/29/2009,     0.9100,     0.9100,     0.9100,     0.9100,             0 
12/30/2009,     0.7800,     0.7800,     0.7800,     0.7800,             0 
12/31/2009,     0.9100,     0.9100,     0.9100,     0.9100,             0 
01/04/2010,     0.7000,     0.7000,     0.7000,     0.7000,             0 
01/05/2010,     0.7200,     0.7200,     0.7200,     0.7200,             0 
01/06/2010,     0.7100,     0.7100,     0.7100,     0.7100,             0 
01/07/2010,     0.7200,     0.7200,     0.7200,     0.7200,             0 
01/08/2010,     0.6500,     0.6500,     0.6500,     0.6500,             0 
01/11/2010,     0.6800,     0.6800,     0.6800,     0.6800,             0 
01/12/2010,     0.8000,     0.8000,     0.8000,     0.8000,             0 
01/13/2010,     0.8100,     0.8100,     0.8100,     0.8100,             0 
01/14/2010,     0.7600,     0.7600,     0.7600,     0.7600,             0 
01/15/2010,     0.8200,     0.8200,     0.8200,     0.8200,             0 
01/19/2010,     0.7400,     0.7400,     0.7400,     0.7400,             0 
01/20/2010,     0.9200,     0.9200,     0.9200,     0.9200,             0 
01/21/2010,     0.9300,     0.9300,     0.9300,     0.9300,             0 
01/22/2010,     1.0700,     1.0700,     1.0700,     1.0700,             0 
01/25/2010,     0.9800,     0.9800,     0.9800,     0.9800,             0 
01/26/2010,     0.8500,     0.8500,     0.8500,     0.8500,             0 
01/27/2010,     0.9500,     0.9500,     0.9500,     0.9500,             0 
01/28/2010,     0.8000,     0.8000,     0.8000,     0.8000,             0 
01/29/2010,     1.0000,     1.0000,     1.0000,     1.0000,             0 
02/01/2010,     0.7500,     0.7500,     0.7500,     0.7500,             0 
02/02/2010,     0.8700,     0.8700,     0.8700,     0.8700,             0 
02/03/2010,     0.8300,     0.8300,     0.8300,     0.8300,             0 
02/04/2010,     1.0600,     1.0600,     1.0600,     1.0600,             0 
02/05/2010,     1.2100,     1.2100,     1.2100,     1.2100,             0 
02/08/2010,     1.0000,     1.0000,     1.0000,     1.0000,             0 
02/09/2010,     0.9800,     0.9800,     0.9800,     0.9800,             0 
02/10/2010,     0.9300,     0.9300,     0.9300,     0.9300,             0 
02/11/2010,     0.8600,     0.8600,     0.8600,     0.8600,             0 
02/12/2010,     0.9100,     0.9100,     0.9100,     0.9100,             0 
02/16/2010,     0.8800,     0.8800,     0.8800,     0.8800,             0 
02/17/2010,     0.9200,     0.9200,     0.9200,     0.9200,             0 
02/18/2010,     0.8000,     0.8000,     0.8000,     0.8000,             0 
02/19/2010,     0.8400,     0.8400,     0.8400,     0.8400,             0 
02/22/2010,     0.8400,     0.8400,     0.8400,     0.8400,             0 
02/23/2010,     1.0500,     1.0500,     1.0500,     1.0500,             0 
02/24/2010,     0.8400,     0.8400,     0.8400,     0.8400,             0 
02/25/2010,     1.0300,     1.0300,     1.0300,     1.0300,             0 
02/26/2010,     0.8800,     0.8800,     0.8800,     0.8800,             0 
03/01/2010,     0.9400,     0.9400,     0.9400,     0.9400,             0 
03/02/2010,     0.7900,     0.7900,     0.7900,     0.7900,             0 
03/03/2010,     0.8800,     0.8800,     0.8800,     0.8800,             0 
03/04/2010,     1.0100,     1.0100,     1.0100,     1.0100,             0 
03/05/2010,     0.8300,     0.8300,     0.8300,     0.8300,             0 
03/08/2010,     0.9200,     0.9200,     0.9200,     0.9200,             0 
03/09/2010,     0.6800,     0.6800,     0.6800,     0.6800,             0 
03/10/2010,     0.8200,     0.8200,     0.8200,     0.8200,             0 
03/11/2010,     0.9300,     0.9300,     0.9300,     0.9300,             0 
03/12/2010,     0.8600,     0.8600,     0.8600,     0.8600,             0 
03/15/2010,     0.8000,     0.8000,     0.8000,     0.8000,             0 
03/16/2010,     0.7600,     0.7600,     0.7600,     0.7600,             0 
03/17/2010,     0.8600,     0.8600,     0.8600,     0.8600,             0 
03/18/2010,     0.7700,     0.7700,     0.7700,     0.7700,             0 
03/19/2010,     0.9700,     0.9700,     0.9700,     0.9700,             0 
03/22/2010,     0.9100,     0.9100,     0.9100,     0.9100,             0 
03/23/2010,     0.7500,     0.7500,     0.7500,     0.7500,             0 
03/24/2010,     0.9200,     0.9200,     0.9200,     0.9200,             0 
03/25/2010,     0.8700,     0.8700,     0.8700,     0.8700,             0 
03/26/2010,     0.9200,     0.9200,     0.9200,     0.9200,             0 
03/29/2010,     0.8400,     0.8400,     0.8400,     0.8400,             0 
03/30/2010,     0.8600,     0.8600,     0.8600,     0.8600,             0 
03/31/2010,     0.8100,     0.8100,     0.8100,     0.8100,             0 
04/01/2010,     0.9000,     0.9000,     0.9000,     0.9000,             0 
04/05/2010,     0.7900,     0.7900,     0.7900,     0.7900,             0 
04/06/2010,     0.7600,     0.7600,     0.7600,     0.7600,             0 
04/07/2010,     0.9100,     0.9100,     0.9100,     0.9100,             0 
04/08/2010,     0.7900,     0.7900,     0.7900,     0.7900,             0 
04/09/2010,     0.7100,     0.7100,     0.7100,     0.7100,             0 
04/12/2010,     0.6800,     0.6800,     0.6800,     0.6800,             0 
04/13/2010,     0.7200,     0.7200,     0.7200,     0.7200,             0 
04/14/2010,     0.5600,     0.5600,     0.5600,     0.5600,             0 
04/15/2010,     0.7200,     0.7200,     0.7200,     0.7200,             0 
04/16/2010,     0.8500,     0.8500,     0.8500,     0.8500,             0 
04/19/2010,     0.9100,     0.9100,     0.9100,     0.9100,             0 
04/20/2010,     0.9100,     0.9100,     0.9100,     0.9100,             0 
04/21/2010,     0.9100,     0.9100,     0.9100,     0.9100,             0 
04/22/2010,     0.7600,     0.7600,     0.7600,     0.7600,             0 
04/23/2010,     0.7100,     0.7100,     0.7100,     0.7100,             0 
04/26/2010,     0.6700,     0.6700,     0.6700,     0.6700,             0 
04/27/2010,     0.8900,     0.8900,     0.8900,     0.8900,             0 
04/28/2010,     0.8300,     0.8300,     0.8300,     0.8300,             0 
04/29/2010,     0.7200,     0.7200,     0.7200,     0.7200,             0 
04/30/2010,     1.0600,     1.0600,     1.0600,     1.0600,             0 
05/03/2010,     0.7800,     0.7800,     0.7800,     0.7800,             0 
05/04/2010,     0.9800,     0.9800,     0.9800,     0.9800,             0 
05/05/2010,     1.1500,     1.1500,     1.1500,     1.1500,             0 
05/06/2010,     1.0200,     1.0200,     1.0200,     1.0200,             0 
05/07/2010,     1.2200,     1.2200,     1.2200,     1.2200,             0 
05/10/2010,     1.0200,     1.0200,     1.0200,     1.0200,             0 
05/11/2010,     1.0900,     1.0900,     1.0900,     1.0900,             0 
05/12/2010,     0.8700,     0.8700,     0.8700,     0.8700,             0 
05/13/2010,     0.8600,     0.8600,     0.8600,     0.8600,             0 
05/14/2010,     1.1100,     1.1100,     1.1100,     1.1100,             0 
05/17/2010,     1.0200,     1.0200,     1.0200,     1.0200,             0 
05/18/2010,     1.0100,     1.0100,     1.0100,     1.0100,             0 
05/19/2010,     1.3700,     1.3700,     1.3700,     1.3700,             0 
05/20/2010,     1.5300,     1.5300,     1.5300,     1.5300,             0 
05/21/2010,     1.3200,     1.3200,     1.3200,     1.3200,             0 
05/24/2010,     0.9400,     0.9400,     0.9400,     0.9400,             0 
05/25/2010,     1.1400,     1.1400,     1.1400,     1.1400,             0 
05/26/2010,     1.0500,     1.0500,     1.0500,     1.0500,             0 
05/27/2010,     1.0400,     1.0400,     1.0400,     1.0400,             0 
05/28/2010,     1.2100,     1.2100,     1.2100,     1.2100,             0 
06/01/2010,     0.9000,     0.9000,     0.9000,     0.9000,             0 
06/02/2010,     0.8900,     0.8900,     0.8900,     0.8900,             0 
06/03/2010,     1.0800,     1.0800,     1.0800,     1.0800,             0 
06/04/2010,     0.9700,     0.9700,     0.9700,     0.9700,             0 
06/07/2010,     0.9600,     0.9600,     0.9600,     0.9600,             0 
06/08/2010,     1.1600,     1.1600,     1.1600,     1.1600,             0 
06/09/2010,     1.0600,     1.0600,     1.0600,     1.0600,             0 
06/10/2010,     1.0000,     1.0000,     1.0000,     1.0000,             0 
06/11/2010,     1.0800,     1.0800,     1.0800,     1.0800,             0 
06/14/2010,     1.1000,     1.1000,     1.1000,     1.1000,             0 
06/15/2010,     0.8700,     0.8700,     0.8700,     0.8700,             0 
06/16/2010,     0.9500,     0.9500,     0.9500,     0.9500,             0 
06/17/2010,     0.9000,     0.9000,     0.9000,     0.9000,             0 
06/18/2010,     0.8800,     0.8800,     0.8800,     0.8800,             0 
06/21/2010,     0.9300,     0.9300,     0.9300,     0.9300,             0 
06/22/2010,     1.0400,     1.0400,     1.0400,     1.0400,             0 
06/23/2010,     1.1200,     1.1200,     1.1200,     1.1200,             0 
06/24/2010,     1.1900,     1.1900,     1.1900,     1.1900,             0 
06/25/2010,     0.8900,     0.8900,     0.8900,     0.8900,             0 
06/28/2010,     0.7900,     0.7900,     0.7900,     0.7900,             0 
06/29/2010,     1.1000,     1.1000,     1.1000,     1.1000,             0 
06/30/2010,     1.0700,     1.0700,     1.0700,     1.0700,             0 
07/01/2010,     1.2600,     1.2600,     1.2600,     1.2600,             0 
07/02/2010,     0.9000,     0.9000,     0.9000,     0.9000,             0 
07/06/2010,     1.1300,     1.1300,     1.1300,     1.1300,             0 
07/07/2010,     0.8700,     0.8700,     0.8700,     0.8700,             0 
07/08/2010,     0.8100,     0.8100,     0.8100,     0.8100,             0 
07/09/2010,     0.8500,     0.8500,     0.8500,     0.8500,             0 
07/12/2010,     1.0100,     1.0100,     1.0100,     1.0100,             0 
07/13/2010,     0.8300,     0.8300,     0.8300,     0.8300,             0 
07/14/2010,     0.9300,     0.9300,     0.9300,     0.9300,             0 
07/15/2010,     0.8800,     0.8800,     0.8800,     0.8800,             0 
07/16/2010,     1.1000,     1.1000,     1.1000,     1.1000,             0 
07/19/2010,     0.7200,     0.7200,     0.7200,     0.7200,             0 
07/20/2010,     0.8900,     0.8900,     0.8900,     0.8900,             0 
07/21/2010,     1.0100,     1.0100,     1.0100,     1.0100,             0 
07/22/2010,     0.8200,     0.8200,     0.8200,     0.8200,             0 
07/23/2010,     0.8400,     0.8400,     0.8400,     0.8400,             0 
07/26/2010,     0.9900,     0.9900,     0.9900,     0.9900,             0 
07/27/2010,     0.8300,     0.8300,     0.8300,     0.8300,             0 
07/28/2010,     0.9600,     0.9600,     0.9600,     0.9600,             0 
07/29/2010,     0.9900,     0.9900,     0.9900,     0.9900,             0 
07/30/2010,     0.8100,     0.8100,     0.8100,     0.8100,             0 
08/02/2010,     0.9300,     0.9300,     0.9300,     0.9300,             0 
08/03/2010,     0.8500,     0.8500,     0.8500,     0.8500,             0 
08/04/2010,     0.8200,     0.8200,     0.8200,     0.8200,             0 
08/05/2010,     0.9500,     0.9500,     0.9500,     0.9500,             0 
08/06/2010,     0.9200,     0.9200,     0.9200,     0.9200,             0 
08/09/2010,     0.8100,     0.8100,     0.8100,     0.8100,             0 
08/10/2010,     1.0100,     1.0100,     1.0100,     1.0100,             0 
08/11/2010,     1.0700,     1.0700,     1.0700,     1.0700,             0 
08/12/2010,     1.0000,     1.0000,     1.0000,     1.0000,             0 
08/13/2010,     1.0000,     1.0000,     1.0000,     1.0000,             0 
08/16/2010,     0.9200,     0.9200,     0.9200,     0.9200,             0 
08/17/2010,     1.0000,     1.0000,     1.0000,     1.0000,             0 
08/18/2010,     1.2000,     1.2000,     1.2000,     1.2000,             0 
08/19/2010,     0.9700,     0.9700,     0.9700,     0.9700,             0 
08/20/2010,     1.0400,     1.0400,     1.0400,     1.0400,             0 
08/23/2010,     0.7100,     0.7100,     0.7100,     0.7100,             0 
08/24/2010,     0.9500,     0.9500,     0.9500,     0.9500,             0 
08/25/2010,     1.0200,     1.0200,     1.0200,     1.0200,             0 
08/26/2010,     0.8800,     0.8800,     0.8800,     0.8800,             0 
08/27/2010,     0.8000,     0.8000,     0.8000,     0.8000,             0 
08/30/2010,     0.9800,     0.9800,     0.9800,     0.9800,             0 
08/31/2010,     0.9200,     0.9200,     0.9200,     0.9200,             0 
09/01/2010,     0.8200,     0.8200,     0.8200,     0.8200,             0 
09/02/2010,     0.9000,     0.9000,     0.9000,     0.9000,             0 
09/03/2010,     0.9700,     0.9700,     0.9700,     0.9700,             0 
09/07/2010,     1.3300,     1.3300,     1.3300,     1.3300,             0 
09/08/2010,     0.9400,     0.9400,     0.9400,     0.9400,             0 
09/09/2010,     1.0600,     1.0600,     1.0600,     1.0600,             0 
09/10/2010,     1.2800,     1.2800,     1.2800,     1.2800,             0 
09/13/2010,     0.8300,     0.8300,     0.8300,     0.8300,             0 
09/14/2010,     0.9000,     0.9000,     0.9000,     0.9000,             0 
09/15/2010,     0.9300,     0.9300,     0.9300,     0.9300,             0 
09/16/2010,     0.8200,     0.8200,     0.8200,     0.8200,             0 
09/17/2010,     0.8900,     0.8900,     0.8900,     0.8900,             0 
09/20/2010,     0.8000,     0.8000,     0.8000,     0.8000,             0 
09/21/2010,     0.9800,     0.9800,     0.9800,     0.9800,             0 
09/22/2010,     0.9500,     0.9500,     0.9500,     0.9500,             0 
09/23/2010,     0.9400,     0.9400,     0.9400,     0.9400,             0 
09/24/2010,     0.8400,     0.8400,     0.8400,     0.8400,             0 
09/27/2010,     0.8400,     0.8400,     0.8400,     0.8400,             0 
09/28/2010,     1.0200,     1.0200,     1.0200,     1.0200,             0 
09/29/2010,     0.7800,     0.7800,     0.7800,     0.7800,             0 
09/30/2010,     0.8400,     0.8400,     0.8400,     0.8400,             0 
10/01/2010,     0.8200,     0.8200,     0.8200,     0.8200,             0 
10/04/2010,     0.8100,     0.8100,     0.8100,     0.8100,             0 
10/05/2010,     0.8900,     0.8900,     0.8900,     0.8900,             0 
10/06/2010,     0.8400,     0.8400,     0.8400,     0.8400,             0 
10/07/2010,     1.0700,     1.0700,     1.0700,     1.0700,             0 
10/08/2010,     0.8500,     0.8500,     0.8500,     0.8500,             0 
10/11/2010,     0.8300,     0.8300,     0.8300,     0.8300,             0 
10/12/2010,     1.1500,     1.1500,     1.1500,     1.1500,             0 
10/13/2010,     0.7300,     0.7300,     0.7300,     0.7300,             0 
10/14/2010,     0.8200,     0.8200,     0.8200,     0.8200,             0 
10/15/2010,     0.7100,     0.7100,     0.7100,     0.7100,             0 
10/18/2010,     0.8500,     0.8500,     0.8500,     0.8500,             0 
10/19/2010,     0.9200,     0.9200,     0.9200,     0.9200,             0 
10/20/2010,     1.0300,     1.0300,     1.0300,     1.0300,             0 
10/21/2010,     0.9600,     0.9600,     0.9600,     0.9600,             0 
10/22/2010,     0.8700,     0.8700,     0.8700,     0.8700,             0 
10/25/2010,     0.9100,     0.9100,     0.9100,     0.9100,             0 
10/26/2010,     0.9100,     0.9100,     0.9100,     0.9100,             0 
10/27/2010,     0.8600,     0.8600,     0.8600,     0.8600,             0 
10/28/2010,     0.8700,     0.8700,     0.8700,     0.8700,             0 
10/29/2010,     0.9000,     0.9000,     0.9000,     0.9000,             0 
11/01/2010,     0.8700,     0.8700,     0.8700,     0.8700,             0 
11/02/2010,     0.8000,     0.8000,     0.8000,     0.8000,             0 
11/03/2010,     0.9000,     0.9000,     0.9000,     0.9000,             0 
11/04/2010,     0.7500,     0.7500,     0.7500,     0.7500,             0 
11/05/2010,     0.6900,     0.6900,     0.6900,     0.6900,             0 
11/08/2010,     0.7000,     0.7000,     0.7000,     0.7000,             0 
11/09/2010,     0.8400,     0.8400,     0.8400,     0.8400,             0 
11/10/2010,     0.7100,     0.7100,     0.7100,     0.7100,             0 
11/11/2010,     0.7700,     0.7700,     0.7700,     0.7700,             0 
11/12/2010,     1.0300,     1.0300,     1.0300,     1.0300,             0 
11/15/2010,     0.7900,     0.7900,     0.7900,     0.7900,             0 
11/16/2010,     0.9600,     0.9600,     0.9600,     0.9600,             0 
11/17/2010,     0.9100,     0.9100,     0.9100,     0.9100,             0 
11/18/2010,     0.8300,     0.8300,     0.8300,     0.8300,             0 
11/19/2010,     0.6600,     0.6600,     0.6600,     0.6600,             0 
11/22/2010,     0.7900,     0.7900,     0.7900,     0.7900,             0 
11/23/2010,     0.9500,     0.9500,     0.9500,     0.9500,             0 
11/24/2010,     1.0600,     1.0600,     1.0600,     1.0600,             0 
11/26/2010,     0.8500,     0.8500,     0.8500,     0.8500,             0 
11/29/2010,     0.9800,     0.9800,     0.9800,     0.9800,             0 
11/30/2010,     0.8900,     0.8900,     0.8900,     0.8900,             0 
12/01/2010,     0.8100,     0.8100,     0.8100,     0.8100,             0 
12/02/2010,     0.7000,     0.7000,     0.7000,     0.7000,             0 
12/03/2010,     0.7900,     0.7900,     0.7900,     0.7900,             0 
12/06/2010,     0.7200,     0.7200,     0.7200,     0.7200,             0 
12/07/2010,     0.7600,     0.7600,     0.7600,     0.7600,             0 
12/08/2010,     0.7400,     0.7400,     0.7400,     0.7400,             0 
12/09/2010,     0.7100,     0.7100,     0.7100,     0.7100,             0 
12/10/2010,     0.7600,     0.7600,     0.7600,     0.7600,             0 
12/13/2010,     0.6500,     0.6500,     0.6500,     0.6500,             0 
12/14/2010,     0.9000,     0.9000,     0.9000,     0.9000,             0 
12/15/2010,     0.6800,     0.6800,     0.6800,     0.6800,             0 
12/16/2010,     0.8700,     0.8700,     0.8700,     0.8700,             0 
12/17/2010,     0.7800,     0.7800,     0.7800,     0.7800,             0 
12/20/2010,     0.7500,     0.7500,     0.7500,     0.7500,             0 
12/21/2010,     0.7300,     0.7300,     0.7300,     0.7300,             0 
12/22/2010,     0.8300,     0.8300,     0.8300,     0.8300,             0 
12/23/2010,     0.8700,     0.8700,     0.8700,     0.8700,             0 
12/27/2010,     0.7800,     0.7800,     0.7800,     0.7800,             0 
12/28/2010,     0.7900,     0.7900,     0.7900,     0.7900,             0 
12/29/2010,     0.7800,     0.7800,     0.7800,     0.7800,             0 
12/30/2010,     0.7200,     0.7200,     0.7200,     0.7200,             0 
12/31/2010,     0.9900,     0.9900,     0.9900,     0.9900,             0 
01/03/2011,     0.6500,     0.6500,     0.6500,     0.6500,             0 
01/04/2011,     0.6500,     0.6500,     0.6500,     0.6500,             0 
01/05/2011,     0.7100,     0.7100,     0.7100,     0.7100,             0 
01/06/2011,     0.7500,     0.7500,     0.7500,     0.7500,             0 
01/07/2011,     0.9100,     0.9100,     0.9100,     0.9100,             0 
01/10/2011,     0.7800,     0.7800,     0.7800,     0.7800,             0 
01/11/2011,     0.8400,     0.8400,     0.8400,     0.8400,             0 
01/12/2011,     0.8200,     0.8200,     0.8200,     0.8200,             0 
01/13/2011,     0.7200,     0.7200,     0.7200,     0.7200,             0 
01/14/2011,     0.5700,     0.5700,     0.5700,     0.5700,             0 
01/18/2011,     0.7300,     0.7300,     0.7300,     0.7300,             0 
01/19/2011,     0.8400,     0.8400,     0.8400,     0.8400,             0 
01/20/2011,     0.9300,     0.9300,     0.9300,     0.9300,             0 
01/21/2011,     0.7900,     0.7900,     0.7900,     0.7900,             0 
01/24/2011,     0.7600,     0.7600,     0.7600,     0.7600,             0 
01/25/2011,     0.9500,     0.9500,     0.9500,     0.9500,             0 
01/26/2011,     0.9200,     0.9200,     0.9200,     0.9200,             0 
01/27/2011,     1.0300,     1.0300,     1.0300,     1.0300,             0 
01/28/2011,     1.0800,     1.0800,     1.0800,     1.0800,             0 
01/31/2011,     1.0100,     1.0100,     1.0100,     1.0100,             0 
02/01/2011,     0.8000,     0.8000,     0.8000,     0.8000,             0 
02/02/2011,     0.7500,     0.7500,     0.7500,     0.7500,             0 
02/03/2011,     0.8700,     0.8700,     0.8700,     0.8700,             0 
02/04/2011,     0.8700,     0.8700,     0.8700,     0.8700,             0 
02/07/2011,     0.8200,     0.8200,     0.8200,     0.8200,             0 
02/08/2011,     0.8400,     0.8400,     0.8400,     0.8400,             0 
02/09/2011,     0.8700,     0.8700,     0.8700,     0.8700,             0 
02/10/2011,     0.7700,     0.7700,     0.7700,     0.7700,             0 
02/11/2011,     0.8200,     0.8200,     0.8200,     0.8200,             0 
02/14/2011,     0.8700,     0.8700,     0.8700,     0.8700,             0 
02/15/2011,     0.8400,     0.8400,     0.8400,     0.8400,             0 
02/16/2011,     0.9100,     0.9100,     0.9100,     0.9100,             0 
02/17/2011,     0.7200,     0.7200,     0.7200,     0.7200,             0 
02/18/2011,     0.9200,     0.9200,     0.9200,     0.9200,             0 
02/22/2011,     0.9800,     0.9800,     0.9800,     0.9800,             0 
02/23/2011,     0.9600,     0.9600,     0.9600,     0.9600,             0 
02/24/2011,     0.9900,     0.9900,     0.9900,     0.9900,             0 
02/25/2011,     0.8300,     0.8300,     0.8300,     0.8300,             0 
02/28/2011,     0.8400,     0.8400,     0.8400,     0.8400,             0 
03/01/2011,     0.9300,     0.9300,     0.9300,     0.9300,             0 
03/02/2011,     0.7900,     0.7900,     0.7900,     0.7900,             0 
03/03/2011,     0.8700,     0.8700,     0.8700,     0.8700,             0 
03/04/2011,     0.7900,     0.7900,     0.7900,     0.7900,             0 
03/07/2011,     0.9000,     0.9000,     0.9000,     0.9000,             0 
03/08/2011,     0.8900,     0.8900,     0.8900,     0.8900,             0 
03/09/2011,     0.8600,     0.8600,     0.8600,     0.8600,             0 
03/10/2011,     1.0500,     1.0500,     1.0500,     1.0500,             0 
03/11/2011,     1.0700,     1.0700,     1.0700,     1.0700,             0 
03/14/2011,     0.9500,     0.9500,     0.9500,     0.9500,             0 
03/15/2011,     1.0700,     1.0700,     1.0700,     1.0700,             0 
03/16/2011,     1.1800,     1.1800,     1.1800,     1.1800,             0 
03/17/2011,     1.0800,     1.0800,     1.0800,     1.0800,             0 
03/18/2011,     1.0200,     1.0200,     1.0200,     1.0200,             0 
03/21/2011,     0.7600,     0.7600,     0.7600,     0.7600,             0 
03/22/2011,     0.7600,     0.7600,     0.7600,     0.7600,             0 
03/23/2011,     0.8600,     0.8600,     0.8600,     0.8600,             0 
03/24/2011,     0.8900,     0.8900,     0.8900,     0.8900,             0 
03/25/2011,     0.8400,     0.8400,     0.8400,     0.8400,             0 
03/28/2011,     0.8200,     0.8200,     0.8200,     0.8200,             0 
03/29/2011,     0.7500,     0.7500,     0.7500,     0.7500,             0 
03/30/2011,     0.7500,     0.7500,     0.7500,     0.7500,             0 
03/31/2011,     0.8700,     0.8700,     0.8700,     0.8700,             0 
04/01/2011,     0.8900,     0.8900,     0.8900,     0.8900,             0 
04/04/2011,     1.0600,     1.0600,     1.0600,     1.0600,             0 
04/05/2011,     0.8200,     0.8200,     0.8200,     0.8200,             0 
04/06/2011,     0.7100,     0.7100,     0.7100,     0.7100,             0 
04/07/2011,     0.8900,     0.8900,     0.8900,     0.8900,             0 
04/08/2011,     0.8700,     0.8700,     0.8700,     0.8700,             0 
04/11/2011,     0.9500,     0.9500,     0.9500,     0.9500,             0 
04/12/2011,     1.1300,     1.1300,     1.1300,     1.1300,             0 
04/13/2011,     0.8400,     0.8400,     0.8400,     0.8400,             0 
04/14/2011,     0.9700,     0.9700,     0.9700,     0.9700,             0 
04/15/2011,     0.9300,     0.9300,     0.9300,     0.9300,             0 
04/18/2011,     0.8600,     0.8600,     0.8600,     0.8600,             0 
04/19/2011,     0.9000,     0.9000,     0.9000,     0.9000,             0 
04/20/2011,     0.9700,     0.9700,     0.9700,     0.9700,             0 
04/21/2011,     0.9300,     0.9300,     0.9300,     0.9300,             0 
04/25/2011,     0.7400,     0.7400,     0.7400,     0.7400,             0 
04/26/2011,     0.8700,     0.8700,     0.8700,     0.8700,             0 
04/27/2011,     0.8700,     0.8700,     0.8700,     0.8700,             0 
04/28/2011,     0.8300,     0.8300,     0.8300,     0.8300,             0 
04/29/2011,     0.9300,     0.9300,     0.9300,     0.9300,             0 
05/02/2011,     0.8600,     0.8600,     0.8600,     0.8600,             0 
05/03/2011,     0.9000,     0.9000,     0.9000,     0.9000,             0 
05/04/2011,     1.0100,     1.0100,     1.0100,     1.0100,             0 
05/05/2011,     1.0600,     1.0600,     1.0600,     1.0600,             0 
05/06/2011,     0.9800,     0.9800,     0.9800,     0.9800,             0 
05/09/2011,     0.7900,     0.7900,     0.7900,     0.7900,             0 
05/10/2011,     0.8000,     0.8000,     0.8000,     0.8000,             0 
05/11/2011,     0.9600,     0.9600,     0.9600,     0.9600,             0 
05/12/2011,     0.8400,     0.8400,     0.8400,     0.8400,             0 
05/13/2011,     0.9400,     0.9400,     0.9400,     0.9400,             0 
05/16/2011,     0.9500,     0.9500,     0.9500,     0.9500,             0 
05/17/2011,     1.1500,     1.1500,     1.1500,     1.1500,             0 
05/18/2011,     0.9600,     0.9600,     0.9600,     0.9600,             0 
05/19/2011,     0.9700,     0.9700,     0.9700,     0.9700,             0 
05/20/2011,     1.0400,     1.0400,     1.0400,     1.0400,             0 
05/23/2011,     1.0600,     1.0600,     1.0600,     1.0600,             0 
05/24/2011,     0.8100,     0.8100,     0.8100,     0.8100,             0 
05/25/2011,     0.7300,     0.7300,     0.7300,     0.7300,             0 
05/26/2011,     0.9200,     0.9200,     0.9200,     0.9200,             0 
05/27/2011,     0.7000,     0.7000,     0.7000,     0.7000,             0 
